model,t_abs,x,u1
cheeger_tunneling,0.001,-0.5700000000000001,-0.5762613676487
cheeger_tunneling,0.001,-0.565,-0.5762446370218596
cheeger_tunneling,0.001,-0.56,-0.5762276009206723
cheeger_tunneling,0.001,-0.5549999999999999,-0.5762102500436999
cheeger_tunneling,0.001,-0.55,-0.5761925746290216
cheeger_tunneling,0.001,-0.5449999999999999,-0.5761745644233293
cheeger_tunneling,0.001,-0.54,-0.5761562086483838
cheeger_tunneling,0.001,-0.5349999999999999,-0.576137495964563
cheeger_tunneling,0.001,-0.53,-0.576118414431187
cheeger_tunneling,0.001,-0.5249999999999999,-0.576098951463275
cheeger_tunneling,0.001,-0.52,-0.5760790937843446
cheeger_tunneling,0.001,-0.5149999999999999,-0.5760588273748075
cheeger_tunneling,0.001,-0.51,-0.5760381374154571
cheeger_tunneling,0.001,-0.5049999999999999,-0.5760170082254834
cheeger_tunneling,0.001,-0.5,-0.5759954231943617
cheeger_tunneling,0.001,-0.4949999999999999,-0.5759733647068743
cheeger_tunneling,0.001,-0.49,-0.5759508140604203
cheeger_tunneling,0.001,-0.4849999999999999,-0.5759277513736363
cheeger_tunneling,0.001,-0.48,-0.5759041554852173
cheeger_tunneling,0.001,-0.47499999999999987,-0.5758800038416388
cheeger_tunneling,0.001,-0.47,-0.5758552723722933
cheeger_tunneling,0.001,-0.46499999999999986,-0.5758299353503087
cheeger_tunneling,0.001,-0.45999999999999996,-0.5758039652370297
cheeger_tunneling,0.001,-0.45500000000000007,-0.5757773325078068
cheeger_tunneling,0.001,-0.44999999999999996,-0.5757500054563315
cheeger_tunneling,0.001,-0.44500000000000006,-0.5757219499742664
cheeger_tunneling,0.001,-0.43999999999999995,-0.5756931293023289
cheeger_tunneling,0.001,-0.43500000000000005,-0.5756635037482758
cheeger_tunneling,0.001,-0.42999999999999994,-0.5756330303663605
cheeger_tunneling,0.001,-0.42500000000000004,-0.5756016625917694
cheeger_tunneling,0.001,-0.41999999999999993,-0.5755693498222336
cheeger_tunneling,0.001,-0.41500000000000004,-0.575536036937378
cheeger_tunneling,0.001,-0.4099999999999999,-0.5755016637443517
cheeger_tunneling,0.001,-0.405,-0.5754661643357435
cheeger_tunneling,0.001,-0.3999999999999999,-0.5754294663425802
cheeger_tunneling,0.001,-0.395,-0.5753914900611414
cheeger_tunneling,0.001,-0.3899999999999999,-0.5753521474271238
cheeger_tunneling,0.001,-0.385,-0.5753113408039615
